response_time,tone,previous_style,reward,label
2.56,4,steps,1,4
3.78,1,steps,0,2
3.03,4,story,1,2
0.61,1,story,1,1
1.5,4,visual,1,1
3.39,3,visual,0,2
3.87,1,story,1,2
2.6,3,visual,0,4
3.84,4,visual,0,1
5.72,3,examples,1,0
0.59,1,story,1,3
1.17,4,steps,1,0
1.92,3,examples,1,1
3.62,4,examples,1,3
5.67,5,story,1,3
0.75,4,explore,1,4
3.73,0,story,1,3
2.02,4,explore,0,0
5.93,0,story,1,2
1.59,2,steps,0,2
0.91,1,visual,1,0
3.93,1,visual,1,4
4.51,5,steps,0,0
2.61,5,steps,0,4
3.59,5,steps,0,1
0.64,4,steps,0,0
2.23,3,explore,0,4
3.47,4,story,0,2
4.32,3,examples,1,4
2.13,4,story,1,3
1.53,5,steps,1,1
1.17,0,visual,0,0
4.06,0,story,0,0
2.18,5,steps,0,4
4.31,1,story,1,2
2.28,0,story,0,0
1.9,3,examples,0,0
1.31,0,steps,0,1
3.26,5,explore,1,0
3.99,5,examples,0,3
2.96,5,story,0,2
2.53,0,explore,1,1
3.98,2,visual,0,3
3.3,4,steps,1,3
4.23,2,examples,0,2
2.42,3,visual,0,1
5.11,2,story,0,0
1.65,5,examples,0,3
1.46,0,story,1,0
1.83,5,story,0,4
5.35,0,visual,0,2
4.49,2,story,1,0
4.03,2,visual,1,3
5.44,3,steps,1,0
4.15,4,examples,1,1
3.17,2,explore,0,3
4.42,0,explore,1,3
2.52,2,visual,1,0
3.48,2,steps,1,4
3.18,2,steps,1,4
3.26,3,visual,0,3
4.47,2,story,0,0
0.74,3,story,1,4
2.04,5,steps,1,0
5.74,4,visual,1,4
3.65,3,visual,1,4
2.62,0,steps,1,1
3.56,5,examples,0,1
3.88,5,examples,0,2
2.12,1,visual,1,0
1.25,5,explore,1,1
4.96,0,explore,1,1
0.53,3,explore,1,0
0.89,5,story,0,3
3.68,5,steps,0,1
3.48,4,examples,1,0
0.71,5,steps,1,4
3.37,4,story,1,3
3.93,3,explore,1,3
2.76,2,story,1,4
5.83,1,steps,0,2
2.91,1,explore,1,4
0.94,0,story,0,0
1.45,0,examples,1,0
4.13,4,visual,1,4
4.56,4,explore,0,2
1.86,2,explore,1,0
2.38,3,explore,0,0
2.21,5,story,0,3
0.59,1,explore,0,3
1.45,5,explore,0,1
3.89,4,story,1,3
2.56,1,steps,1,0
3.47,4,story,1,1
0.65,2,story,1,3
2.63,3,visual,0,4
3.5,4,story,0,0
5.79,1,steps,1,4
0.88,5,examples,0,2
3.9,0,examples,1,4
